Month,Borough,Equipment Type,Common Name,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
1/1/23,Brooklyn,Elevator,EL301,4,2,2,2,225.0,0.978629032,121.35,124.0,0.944623656,117.1333333,124.0,0.977956989,727.6,744.0,ATLANTICAV-BARCLAYSCTR-4AV-D/N/R,27,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
1/1/23,Brooklyn,Elevator,EL709,6,2,4,0,145.0,0.985080645,122.15,124.0,0.974865591,120.8833333,124.0,0.971214158,722.5833333,744.0,JAYST-METROTECH-BWY-R,25,"Jay St-MetroTech (A,C,F,R)",636
1/1/23,Brooklyn,Elevator,EL376,1,1,0,0,126.0,1.0,124.0,124.0,1.0,124.0,124.0,0.992921147,738.7333333,744.0,BAYPKWY-WST-D,68,Bay Pkwy - Station,68
1/1/23,Brooklyn,Elevator,EL738,6,5,1,1,42.0,0.944086022,117.0666667,124.0,1.0,124.0,124.0,0.971169355,722.55,744.0,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
1/1/23,Manhattan,Elevator,EL334,4,2,2,1,213.0,0.967741935,120.0,124.0,0.981182796,121.6666667,124.0,0.967428315,719.7666667,744.0,W4ST-WASHSQ-8AV-A/B/C/D/E/F/M,167,W 4 St-Wash Sq - Station,167
1/1/23,Manhattan,Elevator,EL331,2,2,0,0,124.0,0.987903226,122.5,124.0,1.0,124.0,124.0,0.990031362,736.5833333,744.0,BLEECKERST-LEX-6,408,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",619
1/1/23,Manhattan,Elevator,EL201,12,11,1,0,63.0,0.804569892,99.76666667,124.0,1.0,124.0,124.0,0.899395161,669.15,744.0,51ST-LEX-6,401,"Lexington Av-53 St (E,M)/51 St (6)",612
1/1/23,Queens,Elevator,EL429,1,1,0,0,203.0,1.0,124.0,124.0,0.967741935,120.0,124.0,0.990591398,737.0,744.0,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
1/1/23,Manhattan,Elevator,EL213,3,1,2,0,85.0,1.0,124.0,124.0,1.0,124.0,124.0,0.989829749,736.4333333,744.0,34ST-HERALDSQ-BWY-M/N/R/Q,12,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
1/1/23,Manhattan,Elevator,EL107,7,4,3,0,14.0,0.937365591,116.2333333,124.0,0.949596774,117.75,124.0,0.955801971,711.1166667,744.0,181ST-BWY7-1,301,181 St - Station,301
1/1/23,Manhattan,Elevator,EL217,5,3,2,0,272.0,1.0,124.0,124.0,1.0,124.0,124.0,0.987208781,734.4833333,744.0,14ST-UNIONSQ-LEX-4/5/6,406,"14 St-Union Sq (L,N,Q,R,4,5,6)",602
1/1/23,Manhattan,Elevator,EL618,0,0,0,0,,1.0,36.0,36.0,1.0,36.0,36.0,1.0,216.0,216.0,34ST-PENNSTATION-7AV-1/2/3,318,34 St-Penn Station - Station,318
1/1/23,Manhattan,Elevator,EL335,2,1,1,0,213.0,1.0,124.0,124.0,1.0,124.0,124.0,0.99422043,739.7,744.0,W4ST-WASHSQ-8AV-A/B/C/D/E/F/M,167,W 4 St-Wash Sq - Station,167
1/1/23,Queens,Elevator,EL432,3,1,2,2,210.0,0.991397849,122.9333333,124.0,1.0,124.0,124.0,0.992069892,738.1,744.0,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
1/1/23,Manhattan,Elevator,EL718X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,FULTONST-LEX-4/5,412,"Fulton St (A,C,J,Z,2,3,4,5)",628
1/1/23,Manhattan,Elevator,EL315,3,2,1,1,66.0,0.97983871,121.5,124.0,0.994354839,123.3,124.0,0.983154122,731.4666667,744.0,BROOKLYNBRIDGE-CITYHALL-LEX-4/5/6,411,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",622
1/1/23,Bronx,Elevator,EL185,4,2,2,1,193.0,0.981854839,121.75,124.0,1.0,124.0,124.0,0.98624552,733.7666667,744.0,231ST-BWY7-1,295,231 St - Station,295
1/1/23,Manhattan,Elevator,EL222,9,3,6,2,244.0,0.958602151,118.8666667,124.0,0.967741935,120.0,124.0,0.958064516,712.8,744.0,14ST-8AV-A/C/E,166,"14 St (A,C,E)/8 Av (L)",618
1/1/23,Manhattan,Elevator,EL619,1,1,0,0,8.0,1.0,124.0,124.0,1.0,124.0,124.0,0.993817204,739.4,744.0,TIMESSQ-42ST-BWY-N/R/Q,11,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
1/1/23,Manhattan,Elevator,EL710,6,2,4,1,186.0,1.0,124.0,124.0,0.974193548,120.8,124.0,0.981765233,730.4333333,744.0,BOWLINGGREEN-LEX-4/5,414,Bowling Green - Station,414
1/1/23,Brooklyn,Elevator,EL375,1,1,0,0,174.0,1.0,124.0,124.0,1.0,124.0,124.0,0.993727599,739.3333333,744.0,CHURCHAV-6AV-F/G,243,Church Av - Station,243
1/1/23,Brooklyn,Elevator,EL345,10,3,7,1,104.0,0.964516129,119.6,124.0,0.866397849,107.4333333,124.0,0.919310036,683.9666667,744.0,UTICAAV-8AV-A/C,181,Utica Av - Station,181
1/1/23,Bronx,Elevator,EL132,1,1,0,0,249.0,1.0,124.0,124.0,1.0,124.0,124.0,0.994511649,739.9166667,744.0,161ST-YANKEESTADIUM-CON-B/D,219,"161 St-Yankee Stadium (B,D,4)",604
1/1/23,Brooklyn,Elevator,EL372,5,3,2,1,212.0,0.98655914,122.3333333,124.0,0.967741935,120.0,124.0,0.974126344,724.75,744.0,DEKALBAV-4AV-B/Q/R,26,DeKalb Av - Station,26
1/1/23,Manhattan,Elevator,EL728X,0,0,0,0,,0.459946237,57.03333333,124.0,0.48561828,60.21666667,124.0,0.457459677,340.35,744.0,FULTONST-LEX-4/5,412,"Fulton St (A,C,J,Z,2,3,4,5)",628
1/1/23,Brooklyn,Elevator,EL761,5,1,4,0,135.0,0.991263441,122.9166667,124.0,0.956989247,118.6666667,124.0,0.973947133,724.6166667,744.0,KINGSHWY-BWY-B/Q,51,Kings Hwy - Station,51
1/1/23,Manhattan,Elevator,EL17X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
1/1/23,Manhattan,Elevator,EL292,2,2,0,0,29.0,1.0,124.0,124.0,1.0,124.0,124.0,0.989112903,735.9,744.0,1AV-CNR-L,119,1 Av - Station,119
1/1/23,Brooklyn,Elevator,EL757,3,1,2,1,25.0,1.0,124.0,124.0,1.0,124.0,124.0,0.984117384,732.1833333,744.0,EASTERNPKWY-BROOKLYNMUSEUM-EPK-2/3,341,Eastern Pkwy-Brooklyn Museum - Station,341
1/1/23,Queens,Elevator,EL414,3,3,0,0,276.0,0.993951613,123.25,124.0,1.0,124.0,124.0,0.989807348,736.4166667,744.0,FLUSHING-MAINST-FLS-7,447,Flushing-Main St - Station,447
1/1/23,Brooklyn,Elevator,EL765,2,2,0,0,26.0,1.0,124.0,124.0,1.0,124.0,124.0,0.987275986,734.5333333,744.0,GREENPOINTAV-XTN-G,283,Greenpoint Av - Station,283
1/1/23,Queens,Elevator,EL421,4,3,1,1,204.0,0.989247312,122.6666667,124.0,0.992607527,123.0833333,124.0,0.980264337,729.3166667,744.0,JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R,267,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
1/1/23,Queens,Elevator,EL431,3,2,1,0,210.0,1.0,124.0,124.0,1.0,124.0,124.0,0.98546147,733.1833333,744.0,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
