Out of Service Date,Common Name,Outage,Equipment Description,Executive Comment,Outage Code,Status,External Source Note,Reason Shown to Public,Reason Shown to Public Description,Estimated Return to Service Date,Actual Return to Service Date,Reference,Source,Service Code,Date Created,Status Code,Outage Comments,Station MRN
2023-01-02 12:55:00,EL366,791668,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,BRP,Closed,,UNDERINVESTG,Under Investigation,2023-01-02 21:00:00,2023-01-02 17:52:00,,Phone,EE-MANOUT,2023-01-02 12:56:00,CL,,961
2023-01-03 01:18:00,EL451,791833,ELE: EL451 - 921 - JAMAICA YARD - FREIGHT ELEVATOR,,FR,Closed,,REPAIR,Repair,2023-01-03 07:00:00,2023-01-03 04:00:00,,Phone,EE-MANOUT,2023-01-03 01:18:00,CL,,921
2023-01-03 10:45:00,EL150,792028,ELE: EL150 - 918 - 207TH STREET YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-03 16:00:00,2023-01-03 14:30:00,,Phone,EE-MANOUT,2023-01-03 10:45:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO5407850


E&EM Patterson and E&EH Mata arrived at EL150 at 10:30am for bimonthly maintenance.
 E&EM Patterson and E&EH Mata completed bimonthly maintenance. RTS @14:30 ",918
2023-01-03 11:07:00,EL459,792033,"ELE: EL459 - 904 - CORONA YARD - S, LM, AND UM",,PM,Closed,,MAINTENANCE,Maintenance,2023-01-03 20:00:00,2023-01-03 13:40:00,,Phone,EE-MANOUT,2023-01-03 11:08:00,CL,"***This elevator is out of service for preventive maintenance***


E&EM Manwah and E&EH Gray taking unit OOS for bimonthly PM. WO#5407849  (email) Manwah: Monthly preventative maintenance completed test run machine and monitor operations bis at 140pm. ",904
2023-01-05 08:32:00,EL252,792908,ELE: EL252 - 957 - 333 W53 St - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-01-05 17:00:00,2023-01-05 12:00:00,,Phone,EE-MANOUT,2023-01-05 08:33:00,CL,,957
2023-01-05 09:35:00,EL350,792965,ELE: EL350 - 913 - EAST NEW YORK YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-05 18:00:00,2023-01-05 11:30:00,,Phone,EE-MANOUT,2023-01-05 11:07:00,CL,"***This elevator is out of service for preventive maintenance***


E&EM Marshall and E&EH Alcaraz taking unit OOS to perform bi-monthly PM. WO#5407842 E&EM Marshall and E&EH Alcaraz completed bi-monthly PM. RTS @11:30 ",913
2023-01-06 07:38:00,EL360,793259,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,FR,Closed,,UNDERINVESTG,Under Investigation,2023-01-06 16:00:00,2023-01-06 08:35:00,,Phone,EE-MANOUT,2023-01-06 07:40:00,CL,,912
2023-01-06 09:05:00,EL365,793276,ELE: EL365 - 894 - LINDEN SHOP - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-06 18:00:00,2023-01-06 12:35:00,,Phone,EE-MANOUT,2023-01-06 09:07:00,CL,"***This elevator is out of service for preventive maintenance***


E&EH Garcia and E&EM Khan taking unit OOS for Bi-monthly PM. WO#5407847 E&EH Garcia and E&EM Khan completed Bi-monthly PM. RTS @12:35 ",894
2023-01-06 10:00:00,EL360,793308,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-01-06 18:00:00,2023-01-06 12:00:00,,Phone,EE-MANOUT,2023-01-06 10:01:00,CL,,912
2023-01-06 17:48:00,EL251,793474,ELE: EL251 - 958 - 126 W53 St - PASSENGER ELEVATOR,,POW,Closed,,REPAIR,Repair,2023-01-07 01:00:00,2023-01-06 21:00:00,,Phone,EE-MANOUT,2023-01-06 17:48:00,CL,,958
