GEOID,Out of Service Date,Common Name,Outage,Equipment Description,Executive Comment,outage_code,Status,External Source Note,Reason Shown to Public,Reason Shown to Public Description,Estimated Return to Service Date,Actual Return to Service Date,Reference,Source,Service Code,Date Created,Status Code,Outage Comments,Station MRN,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,lat,long,North Direction Label,South Direction Label,ADA,ADA Notes,Georeference,STATE,COUNTY,TRACT,BLOCK,NAME,geometry,population_estimate,sub_pop_estimate,amb_pop_estimate,med_earn_estimate,population_moe,sub_pop_moe,amb_pop_moe,med_earn_moe,external,downtime
36005006500.0,2023-12-05 09:45:00+00:00,EL129,939436.0,ELE: EL129 - 434 - 3 Av-149 St,This machine will be taken OOS for replacement,RCC,Open,,CAPITALREPLAC,Capital Replacement,2024-06-30 23:59:00+00:00,,,E-mail,EE-MANOUT,2023-11-03 14:28:00+00:00,O,E&EM F. Morales & E&EH Crawford reported this elevator is out of service for replacement. NAIK (Allim Khan) on site for replacement.,434.0,434.0,434.0,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.917757 40.816109),36.0,005,006500,1000.0,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681.0,1004.0,4827.0,21962.0,908.0,270.0,587.0,5408.0,False,
36005006500.0,2023-12-05 09:45:00+00:00,EL130,939438.0,ELE: EL130 - 434 - 3 Av-149 St,This machine will be taken OSS for replacement,RCC,Open,,CAPITALREPLAC,Capital Replacement,2024-06-30 23:59:00+00:00,,,E-mail,EE-MANOUT,2023-11-03 14:37:00+00:00,O,E&EM F. Morales & E&EH Crawford reported this elevator is out of service for replacement. NAIK (Allim Khan) on site for replacement.,434.0,434.0,434.0,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.917757 40.816109),36.0,005,006500,1000.0,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681.0,1004.0,4827.0,21962.0,908.0,270.0,587.0,5408.0,False,
36005006500.0,2023-02-08 23:40:00+00:00,EL129,806941.0,ELE: EL129 - 434 - 3 Av-149 St,,PM,Cancelled,,MAINTENANCE,Maintenance,2023-02-09 08:39:00+00:00,,,Phone,EE-MANOUT,2023-02-08 23:39:00+00:00,C,"***Elevator OOS for Monthly PM ***


WO  5677128
2/8/23 @2340  Hrs (Rosario) E&EM Tej Singht  reports taking elevator OOS Monthly PM.",434.0,434.0,434.0,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.917757 40.816109),36.0,005,006500,1000.0,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681.0,1004.0,4827.0,21962.0,908.0,270.0,587.0,5408.0,False,
36005011900.0,2023-04-12 10:39:00+00:00,EL197,831678.0,ELE: EL197 - 371 - Hunts Point Av,,FR,Cancelled,No Communications on Modbus,UNDERINVESTG,Under Investigation,2023-04-12 19:00:00+00:00,,ST230412.txt - 1543,External Monitoring System,EE-LNOUT,2023-04-12 10:49:00+00:00,C,E&E LIFTNET team (Cheung) is on site working on the siystem Correction *** system.,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-07-21 11:56:00+00:00,EL197,898129.0,ELE: EL197 - 371 - Hunts Point Av,,FR,Cancelled,DOOR CLOSING/REAR POS MONITOR FAILURE,UNDERINVESTG,Under Investigation,2023-07-21 20:00:00+00:00,,ST230721.txt - 2240,External Monitoring System,EE-LNOUT,2023-07-21 12:09:00+00:00,C,As per LIFTNET elevator running,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-11-05 14:39:00+00:00,EL195,940005.0,ELE: EL195 - 371 - Hunts Point Av,,FR,Cancelled,Rear Gate Bypass Switch Fail,UNDERINVESTG,Under Investigation,2023-11-05 23:00:00+00:00,,ST231105.txt - 1606,External Monitoring System,EE-LNOUT,2023-11-05 14:52:00+00:00,C,"As per liftnet, machine is running",371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-07-14 12:10:00+00:00,EL196,895322.0,ELE: EL196 - 371 - Hunts Point Av,,FR,Cancelled,DOOR OPENING / REAR GATE SWITCH FAILURE,UNDERINVESTG,Under Investigation,2023-07-14 21:00:00+00:00,,ST230714.txt - 2577,External Monitoring System,EE-LNOUT,2023-07-14 12:21:00+00:00,C,As per Ms1 Bo fan elevator is running,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-02-18 22:30:00+00:00,EL195,810900.0,ELE: EL195 - 371 - Hunts Point Av,,FR,Cancelled,Rear Gate Bypass Switch Fail,UNDERINVESTG,Under Investigation,2023-02-19 07:00:00+00:00,,ST230218.txt - 2768,External Monitoring System,EE-LNOUT,2023-02-18 22:39:00+00:00,C,As per Legacy Server Elevator is running,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-12-14 13:42:00+00:00,EL196,955060.0,ELE: EL196 - 371 - Hunts Point Av,,FR,Cancelled,DOOR OPENING / FRONT OPEN LIMIT FAILURE,UNDERINVESTG,Under Investigation,2023-12-14 22:00:00+00:00,,ST231214.txt - 2773,External Monitoring System,EE-LNOUT,2023-12-14 13:44:00+00:00,C,As per MS1 Esaefan on Liftnet machine is running.,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-07-24 16:42:00+00:00,EL197,899018.0,ELE: EL197 - 371 - Hunts Point Av,,UNI,Cancelled,DOOR CLOSING/REAR POS MONITOR FAILURE,UNDERINVESTG,Under Investigation,2023-07-25 01:00:00+00:00,,ST230724.txt - 2714,External Monitoring System,EE-LNOUT,2023-07-24 16:55:00+00:00,C,As per Legacy Server In Service,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
