GEOID,Out of Service Date,Common Name,Outage,Equipment Description,Executive Comment,outage_code,Status,External Source Note,Reason Shown to Public,Reason Shown to Public Description,Estimated Return to Service Date,Actual Return to Service Date,Reference,Source,Service Code,Date Created,Status Code,Outage Comments,Station MRN,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,lat,long,North Direction Label,South Direction Label,ADA,ADA Notes,Georeference,STATE,COUNTY,TRACT,BLOCK,NAME,geometry,population_estimate,sub_pop_estimate,amb_pop_estimate,med_earn_estimate,population_moe,sub_pop_moe,amb_pop_moe,med_earn_moe,maintenance_time
36005006500,2023-12-05 09:45:00+00:00,EL129,939436,ELE: EL129 - 434 - 3 Av-149 St,This machine will be taken OOS for replacement,RCC,Open,,CAPITALREPLAC,Capital Replacement,2024-06-30T23:59:00Z,,,E-mail,EE-MANOUT,2023-11-03T14:28:00Z,O,E&EM F. Morales & E&EH Crawford reported this elevator is out of service for replacement. NAIK (Allim Khan) on site for replacement.,434,434,434,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1,,POINT (-73.917757 40.816109),36,5,6500,1000,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681,1004,4827,21962.0,908,270,587,5408.0,
36005006500,2023-02-08 23:40:00+00:00,EL129,806941,ELE: EL129 - 434 - 3 Av-149 St,,PM,Cancelled,,MAINTENANCE,Maintenance,2023-02-09T08:39:00Z,,,Phone,EE-MANOUT,2023-02-08T23:39:00Z,C,"***Elevator OOS for Monthly PM ***


WO  5677128
2/8/23 @2340  Hrs (Rosario) E&EM Tej Singht  reports taking elevator OOS Monthly PM.",434,434,434,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1,,POINT (-73.917757 40.816109),36,5,6500,1000,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681,1004,4827,21962.0,908,270,587,5408.0,
36005006500,2023-12-05 09:45:00+00:00,EL130,939438,ELE: EL130 - 434 - 3 Av-149 St,This machine will be taken OSS for replacement,RCC,Open,,CAPITALREPLAC,Capital Replacement,2024-06-30T23:59:00Z,,,E-mail,EE-MANOUT,2023-11-03T14:37:00Z,O,E&EM F. Morales & E&EH Crawford reported this elevator is out of service for replacement. NAIK (Allim Khan) on site for replacement.,434,434,434,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1,,POINT (-73.917757 40.816109),36,5,6500,1000,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681,1004,4827,21962.0,908,270,587,5408.0,
36005011900,2023-02-18 22:30:00+00:00,EL195,810900,ELE: EL195 - 371 - Hunts Point Av,,FR,Cancelled,Rear Gate Bypass Switch Fail,UNDERINVESTG,Under Investigation,2023-02-19T07:00:00Z,,ST230218.txt - 2768,External Monitoring System,EE-LNOUT,2023-02-18T22:39:00Z,C,As per Legacy Server Elevator is running,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
36005011900,2023-05-11 11:24:00+00:00,EL195,855095,ELE: EL195 - 371 - Hunts Point Av,,FR,Cancelled,Front Safety Edge Failure,UNDERINVESTG,Under Investigation,2023-05-11T20:00:00Z,,ST230511.txt - 1776,External Monitoring System,EE-LNOUT,2023-05-11T11:35:00Z,C,Fault cleared on LIFTNET Legacy @1134 hrs.,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
36005011900,2023-07-24 16:42:00+00:00,EL197,899018,ELE: EL197 - 371 - Hunts Point Av,,UNI,Cancelled,DOOR CLOSING/REAR POS MONITOR FAILURE,UNDERINVESTG,Under Investigation,2023-07-25T01:00:00Z,,ST230724.txt - 2714,External Monitoring System,EE-LNOUT,2023-07-24T16:55:00Z,C,As per Legacy Server In Service,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
36005011900,2023-04-12 10:39:00+00:00,EL197,831678,ELE: EL197 - 371 - Hunts Point Av,,FR,Cancelled,No Communications on Modbus,UNDERINVESTG,Under Investigation,2023-04-12T19:00:00Z,,ST230412.txt - 1543,External Monitoring System,EE-LNOUT,2023-04-12T10:49:00Z,C,E&E LIFTNET team (Cheung) is on site working on the siystem Correction *** system.,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
36005011900,2023-07-14 12:10:00+00:00,EL196,895322,ELE: EL196 - 371 - Hunts Point Av,,FR,Cancelled,DOOR OPENING / REAR GATE SWITCH FAILURE,UNDERINVESTG,Under Investigation,2023-07-14T21:00:00Z,,ST230714.txt - 2577,External Monitoring System,EE-LNOUT,2023-07-14T12:21:00Z,C,As per Ms1 Bo fan elevator is running,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
36005011900,2023-07-21 11:56:00+00:00,EL197,898129,ELE: EL197 - 371 - Hunts Point Av,,FR,Cancelled,DOOR CLOSING/REAR POS MONITOR FAILURE,UNDERINVESTG,Under Investigation,2023-07-21T20:00:00Z,,ST230721.txt - 2240,External Monitoring System,EE-LNOUT,2023-07-21T12:09:00Z,C,As per LIFTNET elevator running,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
36005011900,2023-06-18 10:14:00+00:00,EL197,884668,ELE: EL197 - 371 - Hunts Point Av,,FR,Cancelled,DOOR CLOSING/FRONT POS MONITOR FAILURE,UNDERINVESTG,Under Investigation,2023-06-18T19:00:00Z,,ST230618.txt - 765,External Monitoring System,EE-LNOUT,2023-06-18T10:24:00Z,C,As per Liftnet machine is running.,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,
