Stop Name,Ridership,Daytime Routes
138 St-Grand Concourse,2127,4 5
149 St-Grand Concourse,5873,2 4 5
161 St-Yankee Stadium,12374,B D 4
167 St,5066,4
167 St,4723,B D
170 St,4039,4
170 St,3468,B D
174 St,3437,2 5
174-175 Sts,2727,B D
176 St,2980,4
182-183 Sts,2535,B D
183 St,3269,4
219 St,1570,2 5
225 St,1918,2 5
231 St,4786,1
233 St,2546,2 5
238 St,2204,1
3 Av-138 St,4326,6
3 Av-149 St,10558,2 5
Allerton Av,2685,2 5
Baychester Av,1661,5
Bedford Park Blvd,3492,B D
Bedford Park Blvd-Lehman College,2553,4
Bronx Park East,1352,2 5
Brook Av,3350,6
Buhre Av,1960,6
Burke Av,1700,2 5
Burnside Av,5076,4
Castle Hill Av,3402,6
Cypress Av,1718,6
East 143 St-St Mary's St,688,6
East 149 St,2724,6
East 180 St,3829,2 5
Eastchester-Dyre Av,2300,5
Elder Av,3662,6
Fordham Rd,5666,4
Fordham Rd,5766,B D
Freeman St,2373,2 5
Gun Hill Rd,3470,2 5
Gun Hill Rd,2579,5
Hunts Point Av,5676,6
Intervale Av,1752,2 5
Jackson Av,2664,2 5
Kingsbridge Rd,4719,4
Kingsbridge Rd,3788,B D
Longwood Av,1859,6
Middletown Rd,993,6
Morris Park,1302,5
Morrison Av-Soundview,3537,6
Mosholu Pkwy,4585,4
Mt Eden Av,2890,4
Nereid Av,1757,2 5
Norwood-205 St,4441,D
Parkchester,7754,6
Pelham Bay Park,3301,6
Pelham Pkwy,4473,2 5
Pelham Pkwy,1591,5
Prospect Av,3618,2 5
Simpson St,4371,2 5
St. Lawrence Ave.,2229,6
Tremont Av,4843,B D
Van Cortlandt Park-242 St,3681,1
Wakefield-241 St,2427,2
West Farms Sq-East Tremont Av,3389,2 5
Westchester Sq-East Tremont Av,3157,6
Whitlock Av,1087,6
Woodlawn,3542,4
Zerega Av,1331,6
15 St-Prospect Park,2686,F G
18 Av,3036,D
18 Av,2016,F
18 Av,2723,N
20 Av,2463,D
20 Av,1992,N
25 Av,2152,D
25 St,1979,R
36 St,7507,D N R
4 Av/9 St,6036,F G
45 St,4180,R
50 St,1958,D
53 St,4985,R
55 St,1216,D
59 St,6938,N R
7 Av,4258,B Q
7 Av,5423,F G
71 St,2500,D
77 St,2671,R
79 St,3095,D
8 Av,5346,N
86 St.,1324,N
86 St.,5942,R
9 Av,2916,D
Alabama Av,1187,J
Atlantic Av,929,L
Atlantic Av-Barclays Ctr,19374,B D N Q R 2 3 4 5
Avenue H,1325,Q
Avenue I,1050,F
Avenue J,3063,Q
Avenue M,3085,Q
Avenue N,1528,F
Avenue P,1316,F
Avenue U,987,F
Avenue U,2005,N
Avenue U,3698,Q
Avenue X,1256,F
Bay 50 St,1384,D
Bay Pkwy,3795,D
Bay Pkwy,684,F
Bay Pkwy,3644,N
Bay Ridge Av,3918,R
Bay Ridge-95 St,2716,R
Bedford Av,13543,L
Bedford-Nostrand Avs,4224,G
Bergen St,1621,2 3
Bergen St,5011,F G
Beverley Rd,1732,Q
Beverly Rd,2213,2 5
Brighton Beach,5990,B Q
Broadway,2658,G
Broadway Junction,3882,A C J L Z
Bushwick Av-Aberdeen St,1257,L
Canarsie-Rockaway Pkwy,3582,L
Carroll St,5152,F G
Central Av,2013,M
Chauncey St,1618,J Z
Church Av,4906,2 5
Church Av,8066,B Q
Church Av,4910,F G
Clark St,1887,2 3
Classon Av,2766,G
Cleveland St,1448,J
Clinton-Washington Avs,2868,C
Clinton-Washington Avs,2487,G
Coney Island-Stillwell Av,6607,D F N Q
Cortelyou Rd,3114,Q
Court St/Borough Hall,12377,R
Crescent St,2321,J Z
Crown Heights-Utica Av,12614,3 4
Cypress Hills,819,J
DeKalb Av,8949,B Q R
DeKalb Av,6526,L
Ditmas Av,2222,F
East 105 St,1634,L
Eastern Pkwy-Brooklyn Museum,1946,2 3
Euclid Av,4919,A C
Flatbush Av-Brooklyn College,8442,2 5
Flushing Av,1837,G
Flushing Av,4426,J M
Fort Hamilton Pkwy,2387,D
Fort Hamilton Pkwy,2628,F G
Fort Hamilton Pkwy,3130,N
Franklin Av/Botanic Garden,6534,2 3 4 5
Franklin Av,2624,C S
Fulton St,2961,G
Gates Av,3476,J Z
Graham Av,4518,L
Grand Army Plaza,3053,2 3
Grand St,3536,L
Grant Av,2715,A
Greenpoint Av,5296,G
Halsey St,2927,J
Halsey St,4042,L
Hewes St,1572,J M
High St,4085,A C
Hoyt St,3256,2 3
Hoyt-Schermerhorn Sts,5261,A C G
Jay St-MetroTech,14340,A C F R
Jefferson St,3802,L
Junius St,1156,3
Kings Hwy,10331,B Q
Kings Hwy,1864,F
Kings Hwy,2720,N
Kingston Av,2353,3
Kingston-Throop Avs,2891,C
Knickerbocker Av,2204,M
Kosciuszko St,2649,J
Lafayette Av,2350,C
Liberty Av,1307,C
Livonia Av,1317,L
Lorimer St,2361,J M
Lorimer St/Metropolitan Av,6893,L
Marcy Av,6476,J M Z
Montrose Av,3512,L
Morgan Av,3532,L
Myrtle Av,5348,J M Z
Myrtle-Willoughby Avs,2955,G
Myrtle-Wyckoff Avs,10038,L M
Nassau Av,4647,G
Neck Rd,2077,Q
Neptune Av,777,F
Nevins St,4164,2 3 4 5
New Lots Av,2652,3
New Lots Av,2209,L
New Utrecht Av/62 St,2814,N
Newkirk Av,3697,2 5
Newkirk Plaza,5305,B Q
Norwood Av,1522,J Z
Nostrand Av,1846,3
Nostrand Av,8121,A C
Ocean Pkwy,1671,Q
Park Pl,804,S
Parkside Av,3159,Q
Pennsylvania Av,2294,3
President St,1818,2 5
Prospect Av,2828,R
Prospect Park,4765,B Q S
Ralph Av,2713,C
Rockaway Av,2467,3
Rockaway Av,2628,C
Saratoga Av,2760,3
Sheepshead Bay,6693,B Q
Shepherd Av,1511,C
Smith-9 Sts,2243,F G
Sterling St.,2879,2 5
Sutter Av,1713,L
Sutter Av-Rutland Rd,3422,3
Union St,3348,R
Utica Av,6989,A C
Van Siclen Av,1335,3
Van Siclen Av,1400,C
Van Siclen Av,1473,J Z
West 8 St-New York Aquarium,1285,F Q
Wilson Av,2310,L
Winthrop St,4001,2 5
York St,4758,F
1 Av,11477,L
103 St,5699,1
103 St,6897,6
103 St,2186,B C
110 St,5513,6
116 St,4939,2 3
116 St,7390,6
116 St,3346,B C
116 St-Columbia University,5814,1
125 St,3677,1
125 St,6422,2 3
125 St,11943,4 5 6
125 St,13324,A B C D
135 St,6412,2 3
135 St,2433,B C
137 St-City College,5763,1
14 St/8 Av,17710,A C E
14 St/6 Av,18555,F M 1 2 3
14 St-Union Sq,39138,L N Q R W 4 5 6
145 St,4840,1
145 St,1614,3
145 St,10513,A B C D
155 St,1837,B D
155 St,1259,C
157 St,5420,1
163 St-Amsterdam Av,2079,C
168 St,12957,A C 1
175 St,6270,A
18 St,2995,1
181 St,348,1
181 St,6319,A
190 St,1466,A
191 St,4612,1
2 Av,7189,F
207 St,3215,1
215 St,868,1
23 St,5583,1
23 St,9909,6
23 St,9310,C E
23 St,10426,F M
23 St,7231,R W
28 St,5068,1
28 St,8264,6
28 St,4260,R W
3 Av,3198,L
33 St,11930,6
34 St-Herald Sq,45739,B D F M N Q R W
34 St-Hudson Yards,8608,7
34 St-Penn Station,27237,1 2 3
34 St-Penn Station,30078,A C E
