Station Name,total_outage_count,average_outage_count,median_outage_count,amb_pop_estimate,Ridership,Time Since Major Improvement,med_earn_estimate,Route count,Major Interchange,population_estimate
125ST-8AV-A/B/C/D,145,48.333333333333336,50.0,3303,13324.0,216.0,22000.0,4,1,3674
125ST-LEX-4/5/6,131,65.5,65.5,3388,11943.0,86.0,20093.0,3,1,3910
135ST-LWP-2/3,93,46.5,46.5,5888,6412.0,187.0,77701.0,2,0,6185
14ST-8AV-A/C/E,120,60.0,60.0,7212,,255.0,144375.0,3,1,7318
14ST-UNIONSQ-BWY-N/R/Q,87,43.5,43.5,3143,,283.0,165972.0,4,1,3254
14ST-UNIONSQ-CNR-L,30,30.0,30.0,4951,,283.0,244702.0,1,0,5143
14ST-UNIONSQ-LEX-4/5/6,53,53.0,53.0,3143,,283.0,165972.0,3,1,3254
161ST-YANKEESTADIUM-CON-B/D,262,52.4,53.0,7525,,260.0,44323.0,2,0,7766
168ST-8AV-A/C,113,37.666666666666664,38.0,2567,,202.0,34063.0,2,0,2724
168ST-BWY7-1,418,104.5,85.5,2567,,48.0,34063.0,1,0,2724
170ST-JER-4,190,63.333333333333336,37.0,3765,4039.0,23.0,37200.0,1,0,4030
175ST-8AV-A,107,53.5,53.5,9081,6270.0,409.0,54489.0,1,0,9690
181ST-8AV-A,227,75.66666666666667,78.0,7285,6319.0,40.0,106316.0,1,0,7620
181ST-BWY7-1,536,134.0,108.5,9154,348.0,25.0,60619.0,1,0,9464
190ST-8AV-A,184,61.333333333333336,69.0,2931,1466.0,24.0,98750.0,1,0,3361
191ST-BWY7-1,414,103.5,94.5,10869,4612.0,37.0,51599.0,1,0,11410
1AV-CNR-L,98,49.0,49.0,6841,11477.0,40.0,92569.0,1,0,6981
21ST-QUEENSBRIDGE-63S-F,180,60.0,47.0,5718,,83.0,21065.0,1,0,6046
231ST-BWY7-1,95,47.5,47.5,2730,4786.0,204.0,22971.0,1,0,2841
233ST-LWP-2/5,139,46.333333333333336,46.0,2645,2546.0,200.0,64181.0,2,0,2873
23ST-LEX-6,72,36.0,36.0,7883,9909.0,84.0,136962.0,1,0,8293
34ST-HERALDSQ-6AV-B/D/F,81,40.5,40.5,1645,,20.0,101500.0,4,1,1683
34ST-HERALDSQ-BWY-M/N/R/Q,126,42.0,42.0,1645,,26.0,101500.0,4,1,1683
34ST-HUDSONYARDS-FLS-7,347,86.75,68.0,722,8608.0,99.0,143011.0,1,0,744
34ST-PENNSTATION-7AV-1/2/3,155,38.75,38.0,1645,27237.0,14.0,101500.0,3,1,1683
34ST-PENNSTATION-8AV-A/C/E,236,59.0,51.5,246,30078.0,258.0,155417.0,3,1,251
3AV-149ST-LWP-2/5,135,67.5,67.5,4827,10558.0,321.0,21962.0,2,0,5681
47-50STS-ROCKEFELLERCTR-6AV-B/D/F/M,465,155.0,157.0,2292,,177.0,157177.0,4,1,2427
51ST-LEX-6,102,51.0,51.0,1721,,74.0,101406.0,1,0,1747
57ST-7AV-BWY-N/R/Q,213,53.25,43.5,6488,,176.0,164849.0,4,1,6579
59ST-4AV-N/R,144,48.0,47.0,5205,6938.0,38.0,65750.0,2,0,5508
59ST-COLUMBUSCIRCLE-8AV-A/B/C/D,321,80.25,73.0,5873,,170.0,184231.0,4,1,6401
66ST-LINCOLNCENTER-BWY7-1,113,56.5,56.5,5279,,289.0,149324.0,1,0,5412
72ST-2AV-Q,221,36.833333333333336,40.0,4616,,83.0,177882.0,1,0,4847
72ST-BWY7-1/2/3,58,29.0,29.0,8164,,241.0,144315.0,3,1,8606
