GEOID,Common Name,Equipment Description,Station MRN,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,lat,long,North Direction Label,South Direction Label,ADA,ADA Notes,Georeference,STATE,COUNTY,TRACT,BLOCK,NAME,geometry,population_estimate,sub_pop_estimate,amb_pop_estimate,med_earn_estimate,population_moe,sub_pop_moe,amb_pop_moe,med_earn_moe,outage_count
36005006500,EL130,ELE: EL130 - 434 - 3 Av-149 St,434,434,434,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1,,POINT (-73.917757 40.816109),36,5,6500,1000,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681,1004,4827,21962.0,908,270,587,5408.0,94
36005006500,EL129,ELE: EL129 - 434 - 3 Av-149 St,434,434,434,221,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1,,POINT (-73.917757 40.816109),36,5,6500,1000,"Census Tract 65, Bronx County, New York","list(list(c(-73.925185, -73.924025, -73.922652, -73.921948, -73.920665, -73.921478, -73.921784, -73.922118, -73.918899, -73.917119, -73.915991, -73.917625, -73.919467, -73.920349, -73.920482, -73.923093, -73.924, -73.926627, -73.925185, 40.818013, 40.819285, 40.820494, 40.821032, 40.821837, 40.8202, 40.819527, 40.818796, 40.817967, 40.817512, 40.817211, 40.816055, 40.815074, 40.814629, 40.814564, 40.816698, 40.815439, 40.816119, 40.818013)))",5681,1004,4827,21962.0,908,270,587,5408.0,41
36005008300,EL516,ELE: EL516 - 373 - E 149TH St,373,373,373,615,IRT,Pelham,E 149 St,Bx,6,Subway,40.812118,-73.904098,Pelham Bay Park,Manhattan,1,,POINT (-73.904098 40.812118),36,5,8300,5000,"Census Tract 83, Bronx County, New York","list(list(c(-73.904183, -73.903804, -73.90347, -73.90301, -73.902579, -73.900721, -73.900506, -73.90012, -73.899728, -73.899341, -73.898448, -73.903074, -73.903417, -73.90418, -73.904466, -73.904183, 40.813087, 40.814132, 40.815075, 40.816318, 40.81737, 40.816764, 40.815879, 40.815084, 40.81429, 40.813489, 40.813177, 40.80988, 40.811507, 40.812125, 40.812282, 40.813087)))",6121,864,5751,42386.0,913,285,847,4187.0,10
36005008300,EL515,ELE: EL515 - 373 - E 149TH St,373,373,373,615,IRT,Pelham,E 149 St,Bx,6,Subway,40.812118,-73.904098,Pelham Bay Park,Manhattan,1,,POINT (-73.904098 40.812118),36,5,8300,5000,"Census Tract 83, Bronx County, New York","list(list(c(-73.904183, -73.903804, -73.90347, -73.90301, -73.902579, -73.900721, -73.900506, -73.90012, -73.899728, -73.899341, -73.898448, -73.903074, -73.903417, -73.90418, -73.904466, -73.904183, 40.813087, 40.814132, 40.815075, 40.816318, 40.81737, 40.816764, 40.815879, 40.815084, 40.81429, 40.813489, 40.813177, 40.80988, 40.811507, 40.812125, 40.812282, 40.813087)))",6121,864,5751,42386.0,913,285,847,4187.0,8
36005011900,EL196,ELE: EL196 - 371 - Hunts Point Av,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,76
36005011900,EL195,ELE: EL195 - 371 - Hunts Point Av,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,42
36005011900,EL197,ELE: EL197 - 371 - Hunts Point Av,371,371,371,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1,,POINT (-73.890549 40.820948),36,5,11900,1002,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193,1312,5690,32007.0,1055,466,969,6069.0,33
36005015900,EL128,ELE: EL128 - 430 - Simpson St,430,430,430,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1,,POINT (-73.893064 40.824073),36,5,15900,1001,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164,328,2132,28611.0,562,135,563,23675.0,108
36005015900,EL127,ELE: EL127 - 430 - Simpson St,430,430,430,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1,,POINT (-73.893064 40.824073),36,5,15900,1001,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164,328,2132,28611.0,562,135,563,23675.0,65
36005019500,EL132,ELE: EL132 - 219 - 161 St-Yankee Stadium,219,219,604,D11,IND,Concourse,161 St-Yankee Stadium,Bx,B D,Subway,40.827905,-73.925651,Bedford Pk Blvd & 205 St,Manhattan,1,,POINT (-73.925651 40.827905),36,5,19500,2007,"Census Tract 195, Bronx County, New York","list(list(c(-73.924261, -73.922217, -73.921223, -73.920365, -73.919029, -73.919856, -73.920461, -73.921171, -73.921742, -73.922669, -73.924047, -73.925927, -73.924261, 40.830681, 40.834163, 40.833833, 40.833543, 40.83309, 40.831949, 40.830915, 40.829628, 40.8286, 40.826854, 40.827244, 40.827812, 40.830681)))",7766,1909,7525,44323.0,1193,409,1144,17121.0,53
